PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF275PET;Poland;PL;290;1;275;Baltic Depression;55,36;18,03;PET;oil and gas;Pawlewicz et al., 2003;1;1981;1;1992;1;B3 field discovered in 1981 and came on stream in 1992;Anonymous, 2001 - Stainless Steel World, 2003 - Petroleum Economist, 2003;1,2
OF261PET;Norway;NO;385;1;261;Kola Monocline-Finnmark Platf;71,52;28,08;PET;oil;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;2;1994;1;-9999;4;7128/4-1 field found in 1994 - in 1999 development was not planned and is not very likely;Norwegian Petroleum Directorate, 1999 - Petroleum Economist, 2003;1,2
OF260PET;Norway;NO;385;1;260;Hammerfest-Varanger Basin;72,23;26,48;PET;gas;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;2;1987;1;-9999;4;7226/11-4 field discovered in 1987 - in 1999 development was not planned and is not very likely;Norwegian Petroleum Directorate, 1999 - Petroleum Economist, 2003;1,2
OF259PET;Norway;NO;385;1;259;Hammerfest-Varanger Basin;71,75;24,78;PET;gas;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;2;1987;1;-9999;4;7122/6-1 field found in 1987 - in 1999 development was not planned but may be developed in the long term;Norwegian Petroleum Directorate, 1999 - Petroleum Economist, 2003;1,2
OF258PET;Norway;NO;385;1;258;Hammerfest-Varanger Basin;71,49;21,04;PET;oil and gas;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;2;1981;1;-9999;4;Asekladd field discovered in 1981 - development for the Snoehvit, Askeladd and Albatross fields planned and expected to commence p;Smith, year unknown - Statoil, 2004 - World Oil, 2004 - Petroleum Economist, 2003;1,2
OF257PET;Norway;NO;385;1;257;Vestford-Helgeland;65,09;7,38;PET;oil and gas;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;1;1982;1;1993;1;Tyrihans and Midgard fields found in 1982 - Draugen field was put into production in 1993;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF255PET;Norway;NO;385;1;255;Horda-Norwegian-Danish Basin;58,02;4,13;PET;oil;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;1;1972;1;1996;1;Bream field found in 1972 and the Yme, Yme Gamma, Beta East and Beta West fields came on stream in 1996;Norwegian Petroleum Directorate, 1999 - Norsk Hydro, 1999 - Petroleum Economist, 2003;1,2
OF256PET;Norway;NO;385;1;256;Baltic Shield-Norwegian Caled;62,19;4,41;PET;oil and gas;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;2;1980;1;-9999;4;Agat field discovered in 1980 but was still undeveloped in 2004;Norwegian Petroleum Directorate, 1999 - Lundin, 2004b - Petroleum Economist, 2003;1,2
OF254PET;Norway;NO;385;1;254;North Sea Graben;59,36;2,64;PET;oil and gas;Pawlewicz et al., 2003 - North Sea Digital Atlas, 2004;1;1969;1;1971;1;Cod and Ekofisk fields discovered in 1969 and the Ekofisk came on stream in 1971;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF242PET;Netherlands;NL;210;1;242;North Sea Graben;55,12;4,29;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1972;2;1972;1;A18 field was put into production in 1972;Ministerie van Economische Zaken, 2002 - Kulke, 1994 - Petroleum Economist, 2003;1,2
OF243PET;Netherlands;NL;210;1;243;Mid-North Sea High;54,59;3,68;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994;3;-9999;3;-9999;3;no information available - fields could not be identified due to the fact that they are close to the other basin;Ministerie van Economische Zaken, 2002 - Kulke, 1994 - Petroleum Economist, 2003;1,2
OF241PET;Netherlands;NL;210;1;241;North Sea Graben;54,07;4,76;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1982;1;1985;1;Logger L/16 field found in 1982 and came on stream in 1985;Anonymous, 2001 - Kulke, 1994 - Ministerie van Economische Zaken, 2002;1,2
OF244PET;Netherlands;NL;210;1;244;Anglo-Dutch Basin;53,27;3,62;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1968;1;1981;1;Halfweg field discovered in 1968 and the Helm field came on stream in 1981;UNOCAL, 2001a - UNOCAL, 2001b - Kulke, 1994 - Petroleum Economist, 2003;1,2
OF245PET;Netherlands;NL;210;1;245;Northwest German Basin;53,45;5,91;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1983;2;1988;1;Zuidwal field concession awarded in 1983 and commenced production in 1988;Ministerie van Economische Zaken, 2002 - Lundin, 2004a - Petroleum Economist, 2003;1,2
OF190PET;Italy;IT;325;1;190;Sicily;36,50;14,61;PET;oil;Pawlewicz et al., 2003;1;1958;1;1961;1;Gela field discovered in 1958 and came on stream in 1961;Tali et al., 2002 - Petroleum Economist, 2003;1,2
OF191PET;Italy;IT;325;1;191;Sicily;37,66;12,08;PET;oil;Pawlewicz et al., 2003;3;-9999;3;-9999;3;Narciso field - no further information available;Petroleum Economist, 2003;1,2
OF186PET;Italy;IT;325;1;186;Adriatic Basin;40,90;18,47;PET;oil and gas;Pawlewicz et al., 2003 - INA_b, year unknown;1;1980;2;1993;2;Aquila field discovered around 1980 and development in 1993;Kulke, 1994 - Michelotti, 2004;1,2
OF184PET;Italy;IT;325;1;184;Po Basin;44,45;13,12;PET;gas;Pawlewicz et al., 2003 - INA_b, year unknown;1;1968;1;-9999;3;Porto Garibaldi field found in 1968;Lindquist, 1999a;1,2
OF185PET;Italy;IT;325;1;185;Adriatic Basin;43,37;14,05;PET;oil;Pawlewicz et al., 2003 - INA_b, year unknown;1;1979;1;-9999;3;Sarago Mare field discovered in 1979;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF187PET;Italy;IT;325;1;187;Alps;42,66;14,52;PET;oil and gas;Pawlewicz et al., 2003 - INA_b, year unknown;1;1975;1;1982;2;Rospo Mare field found in 1975 and a pilot project with horizontal drilling started in 1982;Anonymous, 2001 - Kulke, 1994 -  Shirley, 2000 - Petroleum Economist, 2003;1,2
OF189PET;Italy;IT;325;1;189;Tuscany-Latium-Paola;39,21;17,31;PET;gas;Pawlewicz et al., 2003;1;1997;2;1997;2;Luna field under production at least since 1997;International Energy Agency, 1999 - Petroleum Economist, 2003;1,2
OF188PET;Italy;IT;325;1;188;Alps;39,76;16,76;PET;gas;Pawlewicz et al., 2003;3;-9999;3;-9999;3;Laura field - no further information available;Petroleum Economist, 2003;1,2
OF182PET;Ireland;EI;205;1;182;Ireland-Scotland Platform;51,38;-7,85;PET;oil and gas;Pawlewicz et al., 2003;1;1971;1;1978;1;Kinsale Head field discovered in 1971 and came on stream in 1978;Kulke, 1994 - IOOA, 2003 - Petroleum Economist, 2003;1,2
OF181PET;Ireland;EI;205;1;181;Ireland-Scotland Platform;52,87;-12,49;PET;oil;Pawlewicz et al., 2003;2;1997;1;-9999;4;Connemara field appraised in 1997 and development planned in the same year but abandoned in 1999;Alexander?s Gas & Oil Connections, 1997a - Alexander?s Gas & Oil Connections, 1999 - Petroleum Economist, 2003;1,2
OF180PET;Ireland;EI;205;1;180;Ireland-Scotland Platform;54,75;-10,58;PET;gas;Pawlewicz et al., 2003 - Petroleum Economist, 2003;4;1996;1;-9999;4;Corrib field found in 1996 and will go online in 2005;Marathon Oil Corporation, 1999 - Statoil, 2003 - Petroleum Economist, 2003;1,2
OF123PET;Greece;GR;350;1;123;Dinaric Alps;37,56;21,23;PET;oil;Pawlewicz et al., 2003;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF124PET;Greece;GR;350;1;124;Aegean;40,30;22,86;PET;oil;Pawlewicz et al., 2003 - Petroleum Economist, 2003;2;1989;1;-9999;4;Epanomi field found in 1989 - exploitation was concerned in 1999;Woodruff, year unknown - Anonymous, 1999 - Petroleum Economist, 2003;1,2
OF125PET;Greece;GR;350;1;125;Aegean;40,68;24,76;PET;oil and gas;Pawlewicz et al., 2003 - Petroleum Economist, 2003;1;1972;1;1981;1;Kavala field discovered in 1972, Kavala and Prinos fields came on stream in 1981 and the North Prinos field in 1996;ICAP, year unknown - Petroleum Economist, 2003;1,2
OF117PET;Germany;GM;255;1;117;Northwest German Basin;54,04;8,62;PET;oil;Pawlewicz et al., 2003 - Kulke, 1994;1;1980;1;1987;1;Mittelplate field discovered in 1980 and commenced production in 1987;Anonymous, 2001 - RWE Dea, year unknown - Petroleum Economist, 2003;1,2
OF116PET;Germany;GM;255;1;116;Northwest German Basin;53,90;6,82;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994;3;1994;2;-9999;3;H15 field at least known since 1994 - no further information available;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF118PET;Germany;GM;255;1;118;Northwest German Basin;54,62;10,23;PET;oil;Pawlewicz et al., 2003 - Kulke, 1994;1;1978;1;1984;1;Schwedeneck-See field found in 1978 and was put into production in 1984;Anonymous, 2001 - RWE Dea, year unknown - Petroleum Economist, 2003;1,2
OF115PET;Germany;GM;255;1;115;North Sea Graben;55,79;3,96;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1974;1;2000;1;A6 field found in 1974 and came on stream in 2000;Anonymous, 2001 - Kulke, 1994 - SPIEGEL ONLINE, 2001 - Petroleum Economist, 2003;1,2
OF104PET;Denmark;DA;390;1;104;Horda-Norwegian-Danish Basin;56,50;4,97;PET;oil;Pawlewicz et al., 2003 - Kulke, 1994;1;1995;1;1999;1;Siri fiield found in 1995 and was put into production in 1999;Anonymous, 2001 - Petroleum Economist, 2003 - EIA, 2003q;1,2
OF103PET;Denmark;DA;390;1;103;North Sea Graben;55,86;4,45;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1966;1;1972;1;Kraka field discovered in 1966 and Dan field came on stream in 1972;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF102PET;Croatia;HR;344;1;102;Alps;43,30;16,46;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994 - INA_b, year unknown;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF101PET;Croatia;HR;344;1;101;Adriatic Basin;43,71;15,14;PET;oil;Pawlewicz et al., 2003 - Kulke, 1994 - INA_b, year unknown;2;1997;2;-9999;4;Aiza-Laura field: Production Sharing Agreement signed in 1997 - production expected for 2005;INA_a, year unknown  - INA_b, year unknown - Platts, year unknown;1,2
OF100PET;Croatia;HR;344;1;100;Po Basin;44,12;13,87;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994 - INA_b, year unknown;1;1977;1;1999;1;Ivana field found in 1977 and came on stream in 1999;Lindquist, 1999a - Petroleum Economist, 2003 - Hall et al., 2000 - Yahoo! Inc, 2002a;1,2
OF060PET;Bulgaria;BU;355;1;60;West Black Sea Basin;42,98;28,20;PET;gas;Pawlewicz et al., 2003;2;1984;1;-9999;4;Samotino More well drilled in 1984 - production was prospected for 2002, but there is no further information;Melrose Resources, 2001 - Kulke, 1994;1,2
OF059PET;Bulgaria;BU;355;1;59;West Black Sea Basin;43,47;28,81;PET;oil;Pawlewicz et al., 2003 - Petroleum Economist, 2003;4;-9999;3;-9999;4;block still under exploration in 2004 - offsetting of the onshore Tyulenovo field;Melrose Resources, 2004 - Petroleum Economist, 2003;1,2
OF381PET;Vietnam;VM;816;3;381;South China Continental Shelf;15,82;109,39;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no conformation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF382PET;Vietnam;VM;816;3;382;Mekong/Cuulong/Vung Tau Basin;9,93;108,08;PET;oil and gas;Steinshouer et al., 1999;1;1981;1;1986;1;Bach Ho (White Tiger) field discovered in 1981 and came on stream in 1986;CCOP, 2002k - Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF383PET;Vietnam;VM;816;3;383;Saigon Basin;8,06;108,57;PET;oil and gas;Steinshouer et al., 1999;1;1985;1;1994;1;Dai Hung field discovered in 1985 and put into production in 1994;CCOP, 2002k - Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF334PET;Thailand;TH;800;3;334;Thai Basin;7,87;101,34;PET;oil;Steinshouer et al., 1999;1;1973;2;1981;2;whole basin: first discovery in 1971 and first production in 1981 at the Erawan field;Kulke, 1994 - CCOP, 2002j - Petroleum Economist, 2003;1,2
OF333PET;Thailand;TH;800;3;333;Thai Basin;10,15;99,44;PET;oil;Steinshouer et al., 1999;1;1987;1;1988;1;Nang Nuan field discovered in 1987 and put into production in 1988;Kulke, 1994 - CCOP, 2002j;1,2
OF331PET;Thailand;TH;800;3;331;Thai Basin;10,52;100,28;PET;oil;Steinshouer et al., 1999;1;1973;2;1981;2;whole basin: first discovery in 1971 and first production in 1981 at the Erawan field;Kulke, 1994 - CCOP, 2002j - Petroleum Economist, 2003;1,2
OF330PET;Thailand;TH;800;3;330;Thai Basin;11,32;101,21;PET;oil;Steinshouer et al., 1999;1;1973;2;1981;2;whole basin: first discovery in 1971 and first production in 1981 at the Erawan field;Kulke, 1994 - CCOP, 2002j - Petroleum Economist, 2003;1,2
OF329PET;Thailand;TH;800;3;329;Thai Basin;11,65;100,61;PET;oil;Steinshouer et al., 1999;1;1973;2;1981;2;whole basin: first discovery in 1971 and first production in 1981 at the Erawan field;Kulke, 1994 - CCOP, 2002j - Petroleum Economist, 2003;1,2
OF332PET;Thailand;TH;800;3;332;Thai Basin;9,50;101,38;PET;oil and gas;Steinshouer et al., 1999;1;1973;1;1981;1;Erawan field discovered in 1971 and came on stream in 1981;Kulke, 1994 - CCOP, 2002j - Petroleum Economist, 2003;1,2
OF336PET;Thailand;TH;800;3;336;Malay Basin;7,99;102,44;PET;oil and gas;Steinshouer et al., 1999;1;1973;1;1993;1;Bongkot field discovered in 1973 and production start-up in 1993;Petroleum Economist, 2003 - Anonymous, 2001 - PTTEP, 2003a;1,2
OF335PET;Thailand;TH;800;3;335;Thai Basin;7,58;100,78;PET;oil;Steinshouer et al., 1999;1;1973;2;1981;2;whole basin: first discovery in 1971 and first production in 1981 at the Erawan field;Kulke, 1994 - CCOP, 2002j - Petroleum Economist, 2003;1,2
OF337PET;Thailand;TH;800;3;337;Malay Peninsula;7,41;100,55;PET;oil;Steinshouer et al., 1999;4;1988;1;-9999;4;Songkhla field  - development planned;Kulke, 1994 - CCOP, 2002j;1,2
OF325PET;Taiwan;TW;713;3;325;Taixinan Basin;22,51;119,15;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF324PET;Taiwan;TW;713;3;324;Taixinan Basin;22,70;120,07;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF323PET;Taiwan;TW;713;3;323;East China Sea Basin;23,97;120,09;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF322PET;Taiwan;TW;713;3;322;East China Sea Basin;24,74;120,57;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF321PET;Taiwan;TW;713;3;321;East China Sea Basin;25,96;121,48;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF314PET;South Korea;KS;732;3;314;Tsushima Basin/Japan Volcanic;35,28;130,10;PET;gas;Steinshouer et al., 1999;1;1998;1;2003;1;Donghae field discovered in 1998 and came on stream in November 2003;CCOP, 2002h - CCOP, 2002i - EIA, 2003v;1,2
OF271PET;Philippines;RP;840;3;271;Palawan Shelf;9,38;117,60;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF274PET;Philippines;RP;840;3;274;Reed Bank Basin;10,43;116,61;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF273PET;Philippines;RP;840;3;273;Visayan;11,28;124,06;PET;oil;Steinshouer et al., 1999;4;1963;1;-9999;4;basin under exploration;EIA, 2003t - San Roque Dam Project, 2001;1,2
OF272PET;Philippines;RP;840;3;272;Philippine Magmatic Arc;11,59;121,69;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;Panagatani and Semirara fields - included in the Malampaya Pipeline Project - no further information available;Petroleum Economist, 2003;1,2
OF270PET;Philippines;RP;840;3;270;Palawan Shelf;11,84;119,27;PET;oil and gas;Steinshouer et al., 1999;1;1976;1;1979;1;Nido field discovered in 1976 and started operating in 1979;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF266PET;Papua New Guinea;PP;910;3;266;Papuan Basin-Shelf Platform;-9,16;144,99;PET;gas;Steinshouer et al., 1999;2;1988;1;-9999;4;Pandora field found in 1988 - field is not producing;Petroleum Economist, 2003 - Petroleum Division, 2002 - CCOP, 2002f;1,2
OF265PET;Papua New Guinea;PP;910;3;265;Papuan Basin-Shelf Platform;-8,60;144,89;PET;gas;Steinshouer et al., 1999;2;1968;1;-9999;4;Pasca field discovered in 1968 - field is not producing;Petroleum Economist, 2003 - Petroleum Division, 2002 - CCOP, 2002f;1,2
OF264PET;Papua New Guinea;PP;910;3;264;Papuan Basin-Shelf Platform;-7,84;144,68;PET;gas;Steinshouer et al., 1999;2;1968;1;-9999;4;Uramu field discovered in 1968 and is under development;Petroleum Economist, 2003 - CCOP, 2002f - Petroleum Division, 2001;1,2
OF253PET;North Korea;KN;731;3;253;Korea Bay Basin;38,57;123,94;PET;oil;Steinshouer et al., 1999;4;-9999;3;-9999;4;several blocks under exploration;EIA, 2002g - CCOP, 2002i;1,2
OF246PET;New Zealand;NZ;920;3;246;Great South Basin;-48,92;169,10;PET;gas;Steinshouer et al., 1999;4;1980;2;-9999;4;exploration wells were drilled between 1976 and 1984 in the basin - discoveries are non-commercial;New Zealand Petroleum, 2003a;1,2
OF247PET;New Zealand;NZ;920;3;247;Great South Basin;-45,49;171,17;PET;gas;Steinshouer et al., 1999;4;1980;2;-9999;4;exploration wells were drilled between 1976 and 1984 in the basin - discoveries are non-commercial;New Zealand Petroleum, 2003a;1,2
OF249PET;New Zealand;NZ;920;3;249;Taranaki Basin;-39,83;174,10;PET;oil and gas;Steinshouer et al., 1999;4;1986;1;-9999;4;Kupe field discovered in 1986;New Zealand Petroleum, 2002;1,2
OF248PET;New Zealand;NZ;920;3;248;Taranaki Basin;-39,85;173,28;PET;oil and gas;Steinshouer et al., 1999;1;1969;1;1979;1;Maui field discovered in 1969 and came on stream 1979;World Energy Council, 2001 - Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF250PET;New Zealand;NZ;920;3;250;Taranaki Basin;-38,96;173,96;PET;oil;Steinshouer et al., 1999;4;2000;1;-9999;4;Pohokura field was a prospected area in 1999 and in 2000 the field itself was discovered;New Zealand Petroleum, 2002 - Petroleum Economist, 2003;1,2
OF251PET;New Zealand;NZ;920;3;251;Taranaki Basin;-38,38;173,85;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF235PET;Burma;BM;775;3;235;Irrawaddy;15,20;94,94;PET;oil and gas;Wandrey et al., 1999;1;1995;1;-9999;3;Yadana field discovered in 1995;Yangon City, year unknown - UZA/Information Center (MOGE), year unknown;1,2
OF236PET;Burma;BM;775;3;236;Irrawaddy;13,42;94,25;PET;oil and gas;Wandrey et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF237PET;Burma;BM;775;3;237;Irrawaddy;12,25;93,82;PET;oil and gas;Wandrey et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF238PET;Burma;BM;775;3;238;Irrawaddy;13,14;96,84;PET;oil and gas;Wandrey et al., 1999;1;1992;1;2000;1;Yetagun field found in 1992 and came on stream in 2000;Yangon City, year unknown - PremierOil, year unknown - UZA/Information Center (MOGE), year unknown;1,2
OF239PET;Burma;BM;775;3;239;Indo-Burman;11,81;92,81;PET;oil and gas;Wandrey et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF219PET;Malaysia;MY;820;3;219;Greater Sarawak Basin;4,58;111,17;PET;gas;Steinshouer et al., 1999;1;1972;2;-9999;3;whole basin: first field discovered in 1972 - production at least since 1988;Anonymous, 2001 - Petroleum Economist, 2003 - Kulke, 1994 - Malaysia Information, 2003;1,2
OF222PET;Malaysia;MY;820;3;222;Baram Delta/Brunei-Sabah Basi;5,58;114,85;PET;oil and gas;Steinshouer et al., 1999;1;1972;1;-9999;3;Samarang field discovered in 1972 - production at least since 1988;Anonymous, 2001 - Petroleum Economist, 2003 - Kulke, 1994 - Malaysia Information, 2003;1,2
OF217PET;Malaysia;MY;820;3;217;North Sumatra Basin;5,88;98,15;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no conformation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF224PET;Malaysia;MY;820;3;224;Sulu Sea Basin;5,85;118,77;PET;oil and gas;Steinshouer et al., 1999;1;-9999;3;-9999;3;Nymphe and Nymphe North fields;Abando et al., 2002;1,2
OF223PET;Malaysia;MY;820;3;223;Baram Delta/Brunei-Sabah Basi;6,55;115,88;PET;oil and gas;Steinshouer et al., 1999;1;1971;1;-9999;3;Erb West field discovered in 1971 - production at least since 1988;Anonymous, 2001 - Petroleum Economist, 2003 - Kulke, 1994 - Malaysia Information, 2003;1,2
OF221PET;Malaysia;MY;820;3;221;Baram Delta/Brunei-Sabah Basi;4,67;113,78;PET;oil and gas;Steinshouer et al., 1999;1;1963;1;-9999;3;Baram field discovered in 1963 - production at least since 1988;Anonymous, 2001 - Petroleum Economist, 2003 - Kulke, 1994 - Malaysia Information, 2003;1,2
OF220PET;Malaysia;MY;820;3;220;Greater Sarawak Basin;4,21;112,35;PET;oil and gas;Steinshouer et al., 1999;1;1972;1;-9999;3;Temana field discovered in 1972 - production at least since 1988;Anonymous, 2001 - Petroleum Economist, 2003 - Kulke, 1994 - Malaysia Information, 2003;1,2
OF216PET;Malaysia;MY;820;3;216;Malay Basin;6,09;104,39;PET;oil and gas;Steinshouer et al., 1999;1;1971;1;-9999;3;Seligi field discovered in 1971 - production at least since 1988;Anonymous, 2001 - Kulke, 1994 - Malaysia Information, 2003;1,2
OF218PET;Malaysia;MY;820;3;218;Penyu/West Natuna Basin;4,34;104,91;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;Malong, Sotong, Anding and Duyong field;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF198PET;Japan;JA;740;3;198;Japan Volcanic Arc/Accreted T;34,81;138,48;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF205PET;Japan;JA;740;3;205;Kanto Basin;35,49;139,88;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF204PET;Japan;JA;740;3;204;Kanto Basin;35,47;140,63;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF201PET;Japan;JA;740;3;201;Sea of Japan Backarc Basin;39,26;136,94;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF199PET;Japan;JA;740;3;199;Ishikari Hidaka Basin;42,40;141,74;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF193PET;Japan;JA;740;3;193;Japan Volcanic Arc/Accreted T;43,34;141,22;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF192PET;Japan;JA;740;3;192;Japan Volcanic Arc/Accreted T;45,18;141,08;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF194PET;Japan;JA;740;3;194;Japan Volcanic Arc/Accreted T;40,07;139,75;PET;oil and gas;Steinshouer et al., 1999;1;1972;2;-9999;3;discovered at least 1972;Kulke, 1994;1,2
OF200PET;Japan;JA;740;3;200;Akita Basin;39,45;139,80;PET;oil and gas;Steinshouer et al., 1999;1;1972;2;-9999;3;discovered at least 1972;Kulke, 1994;1,2
OF195PET;Japan;JA;740;3;195;Japan Volcanic Arc/Accreted T;38,27;139,30;PET;oil and gas;Steinshouer et al., 1999;1;1972;2;-9999;3;discovered at least 1972;Kulke, 1994;1,2
OF202PET;Japan;JA;740;3;202;Niigata Basin;37,89;138,77;PET;oil and gas;Steinshouer et al., 1999;1;1976;2;1984;1;first discovery at least 1976 - Aga-Kita field discovered in 1981;Kulke, 1994 - TEIKOKU, 2001;1,2
OF196PET;Japan;JA;740;3;196;Japan Volcanic Arc/Accreted T;37,38;138,18;PET;oil and gas;Steinshouer et al., 1999;1;1972;2;-9999;3;discovered at least 1972;Kulke, 1994;1,2
OF197PET;Japan;JA;740;3;197;Japan Volcanic Arc/Accreted T;37,24;141,76;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF203PET;Japan;JA;740;3;203;Joban Basin;37,12;141,36;PET;gas;Steinshouer et al., 1999;1;1976;2;1984;1;first discovery at least 1976 - Iwaki field put into production in 1984;Kulke, 1994 - TEIKOKU, 2001;1,2
OF167PET;Indonesia;ID;850;3;167;Banda Arc;-9,44;125,34;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF159PET;Indonesia;ID;850;3;159;Bali Basin;-7,33;116,61;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF156PET;Indonesia;ID;850;3;156;East Java Basin;-7,17;114,92;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF153PET;Indonesia;ID;850;3;153;Northwest Java Basin;-6,55;109,75;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF155PET;Indonesia;ID;850;3;155;East Java Basin;-6,80;113,19;PET;oil and gas;Steinshouer et al., 1999;1;1975;1;1978;1;Poleng field discovered in 1975 and put into production in 1978;Kulke, 1994;1,2
OF154PET;Indonesia;ID;850;3;154;East Java Basin;-5,98;111,73;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF166PET;Indonesia;ID;850;3;166;Arafura Basin-Irian Jaya;-4,74;135,70;PET;gas;Steinshouer et al., 1999;4;-9999;3;-9999;4;no confirmation of Petroleum Economist - exploration has been reported from that basin;Petroleum Economist, 2003 - Kulke, 1994;1,2
OF152PET;Indonesia;ID;850;3;152;Northwest Java Basin;-5,53;107,19;PET;oil and gas;Steinshouer et al., 1999;1;1969;1;1989;2;Arjuna B, E and F fields discovered in 1969 - production at least since 1989;Kulke, 1994 - Bishop, 2000;1,2
OF164PET;Indonesia;ID;850;3;164;Bintuni/Sulawati Province;-2,45;132,87;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
