PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF169PET;Iran;IR;630;2;169;Mesopotamian Foredeep Basin;29,29;50,27;PET;oil;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995;1;1961;1;-9999;3;Doroud and Kharg Island fields discovered in 1961;Anonymous, 2001 - Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF168PET;Iran;IR;630;2;168;Mesopotamian Foredeep Basin;29,48;49,48;PET;oil;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995;1;1960;1;2002;2;Bahre Gansar and Fereidoon field found in 1960 - Soroosh field came on stream in 2002 after redevelopment;Anonymous, 2001 - Earth Sciences and Resources Institute, 1995 - Lekhy, 2002 - Petroleum Economist, 2003;1,2
OF176PET;Iran;IR;630;2;176;Qatar Arch;27,36;51,38;PET;gas;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995;3;1966;1;-9999;3;G Structure 3 field discovered in 1966 and G 3 field in 1993 - Golshan field;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF172PET;Iran;IR;630;2;172;Mesopotamian Foredeep Basin;27,33;50,96;PET;gas;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995;3;1966;1;-9999;3;F Structure 1 field found in 1966 - Ferdosi field;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF177PET;Iran;IR;630;2;177;Qatar Arch;26,69;52,25;PET;oil and gas;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995;1;1966;1;2002;1;South Pars field discovered in 1966 and started operating in 2002;Earth Sciences and Resources Institute, 1995 - TOTAL, year unknown - Petroleum Economist, 2003;1,2
OF174PET;Iran;IR;630;2;174;Zagros Fold Belt;26,55;53,49;PET;gas;Pollastro et al., 1999b - Petroleum Economist, 2003;3;-9999;3;-9999;3;T-1 field - no further information available;Petroleum Economist, 2003;1,2
OF178PET;Iran;IR;630;2;178;Rub Al Khali Basin;25,94;53,37;PET;oil and gas;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995;1;1965;1;1987;2;Salaman field found in 1965 - Salaman, Reshadat and Resalat fields under production at least since 1987;Anonymous, 2001 - Anonymous, 2003b - Petroleum Economist, 2003;1,2
OF175PET;Iran;IR;630;2;175;Zagros Fold Belt;26,82;56,01;PET;gas;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995 - Petroleum Economist;2;1961;1;-9999;4;Qishm-Salag field and Salakh field discovered in 1961 - in 2000 development of the HD field was planned;Earth Sciences and Resources Institute, 1995 - EIA, 2000 - Petroleum Economist, 2003;1,2
OF179PET;Iran;IR;630;2;179;Rub Al Khali Basin;26,43;56,03;PET;gas;Pollastro et al., 1999b - Earth Sciences and Resources Institute, 1995 - Petroleum Economist;2;1976;1;-9999;4;Henjam field found in 1976 and in 2002 production was planned - Hanquan field;Earth Sciences and Resources Institute, 1995 - Alexander's Gas & Oil Connections, 2002 - Petroleum Economist, 2003;1,2
OF229PET;Mexico;MX;70;5;229;Saline-Comalcalco Basin;18,49;-93,98;PET;oil;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;no information available - fields could not be identified;Petroleum Economist, 2003;1,2
OF228PET;Mexico;MX;70;5;228;Tampico-Misantla Basin;20,99;-97,07;PET;oil;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1966;1;1967;1;Bagre field found in 1966 and the Atun field came on stream in 1967;Earth Sciences and Resources Institute, 1995 - Offshore Magazine, 1994 - Petroleum Economist, 2003;1,2
OF225PET;Mexico;MX;70;5;225;Jalisco-Oaxaca Platform;21,43;-105,42;PET;gas;Petroleum Economist, 2003 - Klett et al., 1997;4;-9999;3;-9999;4;Jayabo field - prospective area;National Energy Policy, year unknown - Petroleum Economist, 2003;1,2
OF227PET;Mexico;MX;70;5;227;Tampico-Misantla Basin;22,13;-97,35;PET;oil;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1966;1;1969;2;Arenque field found in 1966 and under production since the late 1960s;Earth Sciences and Resources Institute, 1995 - Baker20 et al., 1996 - Petroleum Economist, 2003;1,2
OF226PET;Mexico;MX;70;5;226;Burgos Basin;25,29;-97,17;PET;gas;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;Ramirez field - no further information available;Petroleum Economist, 2003;1,2
OF231PET;Mexico;MX;70;5;231;Campeche-Sigsbee Salt Basin;19,62;-92,93;PET;oil;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1979;1;-9999;3;Maloob field discovered in 1979;Earth Sciences and Resources Institute, 1995 - Kulke, 1995 - Petroleum Economist, 2003;1,2
OF230PET;Mexico;MX;70;5;230;Saline-Comalcalco Basin;19,70;-92,56;PET;oil;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1979;1;-9999;3;Ixtoc field found in 1979;Earth Sciences and Resources Institute, 1995 - Kulke, 1995 - Petroleum Economist, 2003;1,2
OF232PET;Mexico;MX;70;5;232;Villahermosa Uplift;19,23;-92,29;PET;oil;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1976;1;1979;1;Cantarell field discovered in 1976 and production in that area commenced in 1979;Anonymous, 2001 - Kulke, 1995 - EIA, 2004a - Petroleum Economist, 2003;1,2
OF214PET;Lithuania;LH;368;1;214;Baltic Depression;55,32;20,56;PET;oil and gas;Persits et al., 1998;2;-9999;3;-9999;4;D6 oil field planned to come on stream at the end of year 2003;Schroedter et al., 2003 - Petroleum Economist, 2003;1,2
OF346PET;Turkmenistan;TX;701;3;346;South Caspian Basin;39,57;52,46;PET;oil and gas;Persits et al., 1998;1;1955;2;1995;2;seismic exploration began in the 1950s - production is reported from two fields - Cheleken project under development since 1993;INOGATE, 2003g - Turkmenistan2000, year unknown - Anonymous, 2002;1,2
OF298PET;Russia;RS;365;1;298;Middle Caspian Basin;42,53;48,08;PET;oil and gas;Persits et al., 1998;4;1974;1;-9999;4;Inchkhe More field discovered in 1974;Ulmishek, 2001b - Caspian Energy, year unknown;1,2
OF297PET;Russia;RS;365;1;297;Middle Caspian Basin;44,66;48,74;PET;oil and gas;Persits et al., 1998 - Petroleum Economist, 2003;3;2001;1;-9999;3;Korchagina and Rakushechnoe fields found in 2001;Alekperov, 2002 - Petroleum Economist, 2003;1,2
OF296PET;Russia;RS;365;1;296;Azov-Kuban Basin;45,53;37,35;PET;oil and gas;Persits et al., 1998;3;-9999;3;-9999;3;Pribrezh field - no further information available;Petroleum Economist, 2003;1,2
OF295PET;Russia;RS;365;1;295;Azov-Kuban Basin;46,29;37,45;PET;oil and gas;Persits et al., 1998;3;-9999;3;-9999;3;Morsk field - no further information available;Petroleum Economist, 2003;1,2
OF304PET;Russia;RS;365;1;304;Tatar Strait Basin;48,96;141,66;PET;gas;Persits et al., 1998;4;-9999;3;-9999;4;exploration and surface shows of oil and gas but no commercial discovery;Kulke, 1994;1,2
OF303PET;Russia;RS;365;1;303;North Sakhalin Basin;50,31;143,98;PET;oil and gas;Persits et al., 1998;1;1972;1;-9999;3;Okruzhnoye field found in 1972 - production at least since 1990 in the whole basin;Kulke, 1994 - Lindquist, 2000 - Petroleum Economist, 2003;1,2
OF302PET;Russia;RS;365;1;302;North Sakhalin Basin;52,28;143,62;PET;oil and gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995;1;1977;1;-9999;3;Odoptu-More field discovered in 1977 and the Chaivo-More field in 1979 - production at least since 1990 in the whole basin;Kulke, 1994 - Lindquist, 2000 - Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF301PET;Russia;RS;365;1;301;North Sakhalin Basin;53,57;142,41;PET;oil and gas;Persits et al., 1998;1;1975;2;-9999;3;exploration since the 1970s - production at least since 1990 in the whole basin;Kulke, 1994 - Lindquist, 2000;1,2
OF300PET;Russia;RS;365;1;300;North Sakhalin Basin;54,00;141,99;PET;---;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995;3;1961;1;-9999;3;Severno-Kolendo field found in 1961;Earth Sciences and Resources Institute, 1995;1,2
